edge_threshold,price_filter,prob_source,size_style,cost_model,n_trades,win_rate,avg_edge,gross_pnl,net_pnl,risk,roi_on_risk,max_drawdown,best_city,worst_city,best_strike_zone,worst_strike_zone
0.03,0.15-0.85,blend_50_50,dollar_risk_1,fee_kalshi,318,0.6918238993710691,0.1317479439502348,115.0358538999551,105.12945389995511,318.0,0.3305957669809909,9.857017557510755,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,blend_50_50,kelly_quarter,gross,318,0.6918238993710691,0.1317479439502348,9034.834269714273,9034.834269714273,26417.21748311109,0.34200552255325045,561.1066492528747,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,blend_50_50,kelly_quarter,spread_2c,318,0.6918238993710691,0.1317479439502348,9034.834269714273,8035.551190061151,26417.21748311109,0.30417856063752347,605.606438215363,miami,chicago,bin_between,threshold_less
0.03,0.15-0.85,blend_50_50,kelly_quarter,fee_kalshi,318,0.6918238993710691,0.1317479439502348,9034.834269714273,8301.656961631217,26417.21748311109,0.3142517552024011,591.0472597569172,miami,chicago,bin_between,threshold_less
0.03,0.20-0.80,model_prob_raw,flat_1,gross,287,0.6411149825783972,0.2562650910217593,22.52,22.52,161.48,0.13945999504582612,3.500000000000001,miami,phoenix,bin_between,threshold_less
0.03,0.20-0.80,model_prob_raw,flat_1,spread_2c,287,0.6411149825783972,0.2562650910217593,22.52,16.779999999999994,161.48,0.10391379737428781,3.900000000000002,miami,phoenix,bin_between,threshold_less
0.03,0.20-0.80,model_prob_raw,flat_1,fee_kalshi,287,0.6411149825783972,0.2562650910217593,22.52,17.991539,161.48,0.1114165159772108,3.808161000000002,miami,phoenix,bin_between,threshold_less
0.03,0.20-0.80,model_prob_raw,dollar_risk_1,gross,287,0.6411149825783972,0.2562650910217593,54.69273481240926,54.69273481240926,287.0,0.19056702025229708,8.886558858397043,miami,phoenix,bin_between,threshold_less
0.03,0.20-0.80,model_prob_raw,dollar_risk_1,spread_2c,287,0.6411149825783972,0.2562650910217593,54.69273481240926,43.555652377412635,287.0,0.15176185497356318,9.64938575011368,miami,phoenix,threshold_greater,threshold_less
0.03,0.20-0.80,model_prob_raw,dollar_risk_1,fee_kalshi,287,0.6411149825783972,0.2562650910217593,54.69273481240926,45.90633481240927,287.0,0.15995238610595564,9.481558858397042,miami,phoenix,bin_between,threshold_less
0.03,0.20-0.80,model_prob_raw,kelly_quarter,gross,287,0.6411149825783972,0.2562650910217593,12073.770641976116,12073.770641976116,43803.56734759695,0.2756344145709968,1069.4441936305388,miami,denver,bin_between,threshold_less
0.03,0.20-0.80,model_prob_raw,kelly_quarter,spread_2c,287,0.6411149825783972,0.2562650910217593,12073.770641976116,10449.430506966348,43803.56734759695,0.2385520435823499,1164.172895509705,miami,denver,bin_between,threshold_less
0.03,0.20-0.80,model_prob_raw,kelly_quarter,fee_kalshi,287,0.6411149825783972,0.2562650910217593,12073.770641976116,10786.67922231933,43803.56734759695,0.24625115887761326,1142.0787490127527,miami,denver,bin_between,threshold_less
0.03,0.20-0.80,model_prob_recal,flat_1,gross,281,0.6548042704626335,0.2636795501835167,31.509999999999998,31.509999999999998,152.49,0.2066365007541478,4.4950000000000045,miami,denver,bin_between,threshold_less
0.03,0.20-0.80,model_prob_recal,flat_1,spread_2c,281,0.6548042704626335,0.2636795501835167,31.509999999999998,25.889999999999997,152.49,0.16978162502459174,4.875,miami,denver,bin_between,threshold_less
