city,target,ticker,snapshot_hour_utc,candle_count,last_ts,last_close,last_yes_bid,last_yes_ask,last_mid,last_volume
nyc,2026-05-03,KXHIGHNY-26MAY03-B61.5,12,50,1777809300,,0.13,0.14,0.135,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B61.5,20,56,1777838400,,0.07,0.08,0.07500000000000001,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B59.5,4,29,1777780800,,0.46,0.47,0.46499999999999997,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B59.5,12,60,1777809600,,0.64,0.65,0.645,0
nyc,2026-05-03,KXHIGHNY-26MAY03-B59.5,20,58,1777838400,0.8,0.76,0.8,0.78,1.24
chicago,2026-05-03,KXHIGHCHI-26MAY03-B68.5,4,31,1777780680,,0.4,0.41,0.405,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B68.5,12,55,1777809600,,0.52,0.53,0.525,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B68.5,20,59,1777838400,,0.56,0.59,0.575,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-T73,4,33,1777780800,,0.01,0.02,0.015,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-T73,12,12,1777809300,,0.0,0.01,0.005,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-T73,20,28,1777838400,,0.0,0.01,0.005,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B70.5,4,14,1777780680,,0.03,0.04,0.035,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B70.5,12,59,1777809600,,0.09,0.1,0.095,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B70.5,20,42,1777838400,,0.02,0.05,0.035,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B66.5,4,25,1777780740,,0.2,0.23,0.21500000000000002,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B66.5,12,57,1777809600,,0.22,0.25,0.235,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B66.5,20,61,1777838400,0.37,0.31,0.37,0.33999999999999997,25.99
chicago,2026-05-03,KXHIGHCHI-26MAY03-B72.5,4,34,1777780800,,0.02,0.03,0.025,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B72.5,12,16,1777809420,,0.0,0.01,0.005,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-B72.5,20,35,1777838400,,0.0,0.04,0.02,0
chicago,2026-05-03,KXHIGHCHI-26MAY03-T66,4,24,1777780740,,0.36,0.38,0.37,0
